Front,Back,Extra,Mnemonic,CardType,Tags,ImageURL,ImageAlt,Topic,Source,CardID
What is component 1 of 6 in The types of non-verbal communication?,Kinesics,Explanation: Kinesics; Haptics; Vocalics / Paralinguistics; Proxemics; Chronemics; Artifacts and Environment Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-163 if unfamiliar.,"KHVPCA: Kinesics, Haptics, Vocalics / Paralinguistics, Proxemics, Chronemics, Artifacts and Environment",qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-163,50253c81882c04f6
What is component 3 of 5 in The five components of the communication process?,Message,Explanation: Source; Channel; Message; Receiver; Feedback Source: MEDIALIT FINALS p.2 Context: Communication Process and Literacies background is assumed; review media-literacy-finals-refined.md:line-71 if unfamiliar.,"SCMRF: Source, Channel, Message, Receiver, Feedback",qa,media-literacy finals communication-process-and-literacies auto,,,Communication Process and Literacies,media-literacy-finals-refined.md:line-71,e53391437673481c
"Complete: ... of how we produce speech sounds, while ___ is the study of languages and the ...",Phonology,"Explanation: Phonetics is the study of how we produce speech sounds, while Phonology is the study of languages and the patterns found in speech. Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-228 if unfamiliar.",,qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-228,590f9bb656a65639
What is mass media?,A group of mediums used to communicate to a large body of audience at a certain amount of time.,Explanation: A group of mediums used to communicate to a large body of audience at a certain amount of time. Source: MEDIALIT FINALS p.5 Context: Information and Media Literacy background is assumed; review media-literacy-finals-refined.md:line-261 if unfamiliar.,,qa,media-literacy finals information-and-media-literacy auto,,,Information and Media Literacy,media-literacy-finals-refined.md:line-261,b522f452c22fb72e
What is component 4 of 6 in The aspects of language?,Phonetics,Explanation: Semantics; Syntax; Pragmatics; Phonetics; Phonology; Morphology Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-203 if unfamiliar.,"SSPPPM: Semantics, Syntax, Pragmatics, Phonetics, Phonology, Morphology",qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-203,f95405441d136488
What is component 4 of 4 in Authority is constructed and contextual; Information creation as a process; Information?,Searching as strategic exploration,Explanation: Authority is constructed and contextual; Information creation as a process; Information has value; Research as inquiry; Scholarship as conversation; Searching as strategic exploration Source: MEDIALIT FINALS p.5 Context: Information and Media Literacy background is assumed; review media-literacy-finals-refined.md:line-246 if unfamiliar.,"VRSS: value, Research as inquiry, Scholarship as conversation, Searching as strategic exploration",qa,media-literacy finals information-and-media-literacy auto,,,Information and Media Literacy,media-literacy-finals-refined.md:line-246,e92085204631cdb0
Complete: An ___ is a sign whose meaning is based ...,Icon,Explanation: An Icon is a sign whose meaning is based on similarity of appearance (e.g. a crucifix representing Christ). Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-148 if unfamiliar.,,qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-148,b2ad28e4649e8b18
"What are ""media effects""?",The influences and consequences on the audience.,Explanation: The influences and consequences on the audience. Source: MEDIALIT FINALS p.1 Context: Media and Media Literacy background is assumed; review media-literacy-finals-refined.md:line-48 if unfamiliar.,,qa,media-literacy finals media-and-media-literacy auto,,,Media and Media Literacy,media-literacy-finals-refined.md:line-48,5d56b4b935ef4e02
Complete: ___ is the study of communication through body ...,Kinesics,"Explanation: Kinesics is the study of communication through body movement, posture, eye contact, and facial expressions, while Haptics is communication expressed through the sense of touch. Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-168 if unfamiliar.",,qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-168,9f45fc2ae4f2af61
"Complete: In the communication process, the ___ is the person or group who receives ...",Receiver,"Explanation: In the communication process, the Receiver is the person or group who receives and interprets the message, and Feedback is the receiver's response back to the sender confirming the message was received and understood. Source: MEDIALIT FINALS p.2 Context: Communication Process and Literacies background is assumed; review media-literacy-finals-refined.md:line-86 if unfamiliar.",,qa,media-literacy finals communication-process-and-literacies auto,,,Communication Process and Literacies,media-literacy-finals-refined.md:line-86,e64a3a22f4b3c526
What is non-verbal communication (manual language)?,The process of sending and receiving messages without using words / either spoken or written (e.g. facial expressions / gestures / posture / eye contact).,"Explanation: The process of sending and receiving messages without using words, either spoken or written (e.g. facial expressions, gestures, posture, eye contact). Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-138 if unfamiliar.",,qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-138,1f786686497872d3
What is component 3 of 3 in Examples of MOOCs?,edX,Explanation: Coursera; Udacity; edX Source: MEDIALIT FINALS p.23 Context: MOOCs and Ubiquitous Learning background is assumed; review media-literacy-finals-refined.md:line-602 if unfamiliar.,"CUE: Coursera, Udacity, edX",qa,media-literacy finals moocs-and-ubiquitous-learning auto,,,MOOCs and Ubiquitous Learning,media-literacy-finals-refined.md:line-602,edcf103c5471ac2e
Complete: ___ is the study of how words are used in context and interaction to help communication.,Pragmatics,Explanation: Pragmatics is the study of how words are used in context and interaction to help communication. Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-218 if unfamiliar.,,qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-218,2f8eec0740b0a8bd
What is component 2 of 2 in The two main types of communication?,Non-verbal,Explanation: Verbal; Non-verbal Source: MEDIALIT FINALS p.2 Context: Communication Process and Literacies background is assumed; review media-literacy-finals-refined.md:line-66 if unfamiliar.,,qa,media-literacy finals communication-process-and-literacies auto,,,Communication Process and Literacies,media-literacy-finals-refined.md:line-66,84659249af6bbcf4
Complete: ___ is the study of human space and ...,Proxemics,"Explanation: Proxemics is the study of human space and distance in communication, while Chronemics is the use of time to convey meaning. Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-178 if unfamiliar.",,qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-178,f2177a206b7d9304
What is component 3 of 3 in Negative effects of media?,Misuse and abuse,Explanation: Spread of misinformation; Identity theft; Misuse and abuse Source: MEDIALIT FINALS p.9 Context: Media Effects and Society background is assumed; review media-literacy-finals-refined.md:line-320 if unfamiliar.,"SIM: Spread of misinformation, Identity theft, Misuse and abuse",qa,media-literacy finals media-effects-and-society auto,,,Media Effects and Society,media-literacy-finals-refined.md:line-320,db70c8d25e8c689c
What is component 1 of 3 in The characteristics of a language?,Symbolic — a word is associated with a concrete or abstract meaning,Explanation: Symbolic — a word is associated with a concrete or abstract meaning; Follows a set of rules — grammar; Relational and cultural — meaning can change based on culture Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-198 if unfamiliar.,"SFR: Symbolic — a word is associated with a concrete or abstract meaning, Follows a set of rules — grammar, Relational and cultural — meaning can change based on culture",qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-198,fac81b1bc7ae33d1
Complete: ... collective noun for all communication mediums; a ___ is the singular form (e.g. television is ...,Medium,Explanation: Media is a collective noun for all communication mediums; a Medium is the singular form (e.g. television is a broadcast medium). Source: MEDIALIT FINALS p.5 Context: Information and Media Literacy background is assumed; review media-literacy-finals-refined.md:line-256 if unfamiliar.,,qa,media-literacy finals information-and-media-literacy auto,,,Information and Media Literacy,media-literacy-finals-refined.md:line-256,2948e6e57e5bf68c
"Complete: ... human space and distance in communication, while ___ is the use of time to convey ...",Chronemics,"Explanation: Proxemics is the study of human space and distance in communication, while Chronemics is the use of time to convey meaning. Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-183 if unfamiliar.",,qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-183,330005995d7ef128
Complete: ... media and the ability to locate content; ___ means examine and interpret the main ideas ...,Analyze,"Explanation: In media literacy, Access means where you find media and the ability to locate content; Analyze means examine and interpret the main ideas to make sense of the message. Source: MEDIALIT FINALS p.1 Context: Media and Media Literacy background is assumed; review media-literacy-finals-refined.md:line-28 if unfamiliar.",,qa,media-literacy finals media-and-media-literacy auto,,,Media and Media Literacy,media-literacy-finals-refined.md:line-28,3cd2472a28b09b5e
What is component 6 of 6 in The aspects of language?,Morphology,Explanation: Semantics; Syntax; Pragmatics; Phonetics; Phonology; Morphology Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-203 if unfamiliar.,"SSPPPM: Semantics, Syntax, Pragmatics, Phonetics, Phonology, Morphology",qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-203,3912dde3225d0a71
Complete: ... where and whom the media message originates; ___ means generate media content to share responsibly ...,Create,"Explanation: In media literacy, Evaluate means examine from where and whom the media message originates; Create means generate media content to share responsibly with others. Source: MEDIALIT FINALS p.1 Context: Media and Media Literacy background is assumed; review media-literacy-finals-refined.md:line-38 if unfamiliar.",,qa,media-literacy finals media-and-media-literacy auto,,,Media and Media Literacy,media-literacy-finals-refined.md:line-38,615deb33307ce716
What is component 3 of 6 in The types of non-verbal communication?,Vocalics / Paralinguistics,Explanation: Kinesics; Haptics; Vocalics / Paralinguistics; Proxemics; Chronemics; Artifacts and Environment Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-163 if unfamiliar.,"KHVPCA: Kinesics, Haptics, Vocalics / Paralinguistics, Proxemics, Chronemics, Artifacts and Environment",qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-163,a27b491498d6e8bd
What is component 1 of 4 in Authority is constructed and contextual; Information creation as a process; Information?,value,Explanation: Authority is constructed and contextual; Information creation as a process; Information has value; Research as inquiry; Scholarship as conversation; Searching as strategic exploration Source: MEDIALIT FINALS p.5 Context: Information and Media Literacy background is assumed; review media-literacy-finals-refined.md:line-246 if unfamiliar.,"VRSS: value, Research as inquiry, Scholarship as conversation, Searching as strategic exploration",qa,media-literacy finals information-and-media-literacy auto,,,Information and Media Literacy,media-literacy-finals-refined.md:line-246,77bfb02641d5adb8
Complete: ___ is the study of words and how ...,Morphology,"Explanation: Morphology is the study of words and how they are formed (e.g. why the plural of ""foot"" is ""feet"" but the plural of ""boot"" is ""boots""). Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-233 if unfamiliar.",,qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-233,e493e1e2b489fb5f
What is component 2 of 3 in Negative effects of media?,Identity theft,Explanation: Spread of misinformation; Identity theft; Misuse and abuse Source: MEDIALIT FINALS p.9 Context: Media Effects and Society background is assumed; review media-literacy-finals-refined.md:line-320 if unfamiliar.,"SIM: Spread of misinformation, Identity theft, Misuse and abuse",qa,media-literacy finals media-effects-and-society auto,,,Media Effects and Society,media-literacy-finals-refined.md:line-320,fc7b312725c0d62a
What is component 2 of 3 in The three types of signs?,Symbol,Explanation: Icon; Symbol; Code Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-143 if unfamiliar.,"ISC: Icon, Symbol, Code",qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-143,b62764673326c1b4
What is component 2 of 5 in The five components of the communication process?,Channel,Explanation: Source; Channel; Message; Receiver; Feedback Source: MEDIALIT FINALS p.2 Context: Communication Process and Literacies background is assumed; review media-literacy-finals-refined.md:line-71 if unfamiliar.,"SCMRF: Source, Channel, Message, Receiver, Feedback",qa,media-literacy finals communication-process-and-literacies auto,,,Communication Process and Literacies,media-literacy-finals-refined.md:line-71,43885a575e44e444
What is component 6 of 6 in The types of non-verbal communication?,Artifacts and Environment,Explanation: Kinesics; Haptics; Vocalics / Paralinguistics; Proxemics; Chronemics; Artifacts and Environment Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-163 if unfamiliar.,"KHVPCA: Kinesics, Haptics, Vocalics / Paralinguistics, Proxemics, Chronemics, Artifacts and Environment",qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-163,ed941c6cdc276cf3
What is component 3 of 3 in three main advantages of MOOCs in the handout?,Economy,Explanation: MOOCs can reach varied learners / support teaching experimentation / and reduce attendance barriers. Source: MEDIALIT FINALS p.23 Context: MOOCs and Ubiquitous Learning background is assumed; review media-literacy-finals-refined.md:line-676 if unfamiliar.,"RPE: Reachability, Pedagogy experimentation, Economy",qa,media-literacy finals mooc moocs-and-ubiquitous-learning auto,,,MOOCs and Ubiquitous Learning,media-literacy-finals-refined.md:line-676,4aa3698a964a72e1
"Complete: ... study of the meaning behind words, while ___ is the study of sentence structure, grammar, ...",Syntax,"Explanation: Semantics is the study of the meaning behind words, while Syntax is the study of sentence structure, grammar, and how sentences are formed. Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-213 if unfamiliar.",,qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-213,16560dbf5d647857
Which term means: They have a high dropout rate?,a common completion problem with MOOCs,Explanation: Many enrolled students do not finish their courses. Source: MEDIALIT FINALS p.23 Context: MOOCs and Ubiquitous Learning background is assumed; review media-literacy-finals-refined.md:line-681 if unfamiliar.,,reverse,media-literacy finals mooc moocs-and-ubiquitous-learning auto,,,MOOCs and Ubiquitous Learning,media-literacy-finals-refined.md:line-681,c79d0a2de228b14f
Complete: ___ (paralinguistics) is technically how people communicate using their voices.,Vocalics,Explanation: Vocalics (paralinguistics) is technically how people communicate using their voices. Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-188 if unfamiliar.,,qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-188,56f0024ea4bd6e02
"Complete: ... who receives and interprets the message, and ___ is the receiver's response back to the ...",Feedback,"Explanation: In the communication process, the Receiver is the person or group who receives and interprets the message, and Feedback is the receiver's response back to the sender confirming the message was received and understood. Source: MEDIALIT FINALS p.2 Context: Communication Process and Literacies background is assumed; review media-literacy-finals-refined.md:line-91 if unfamiliar.",,qa,media-literacy finals communication-process-and-literacies auto,,,Communication Process and Literacies,media-literacy-finals-refined.md:line-91,4dd4e5dfcf7ae187
"Complete: ... posture, eye contact, and facial expressions, while ___ is communication expressed through the sense of ...",Haptics,"Explanation: Kinesics is the study of communication through body movement, posture, eye contact, and facial expressions, while Haptics is communication expressed through the sense of touch. Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-173 if unfamiliar.",,qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-173,76a0eb64db1d46f5
What is component 6 of 6 in The six skills in the media literacy definition (NAMLE)?,Act,Explanation: Access; Analyze; Evaluate; Create; Communicate; Act Source: MEDIALIT FINALS p.1 Context: Media and Media Literacy background is assumed; review media-literacy-finals-refined.md:line-18 if unfamiliar.,"AAECCA: Access, Analyze, Evaluate, Create, Communicate, Act",qa,media-literacy finals media-and-media-literacy auto,,,Media and Media Literacy,media-literacy-finals-refined.md:line-18,8c9ba9874a3231b6
What is component 1 of 6 in The aspects of language?,Semantics,Explanation: Semantics; Syntax; Pragmatics; Phonetics; Phonology; Morphology Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-203 if unfamiliar.,"SSPPPM: Semantics, Syntax, Pragmatics, Phonetics, Phonology, Morphology",qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-203,b2ab99f7b2a11c24
What is information literacy (broad definition)?,Using information appropriately / ethically / and efficiently to develop oneself / others / and society; the ability to think critically about information — a combination of research / technology / and communication skills.,"Explanation: Using information appropriately, ethically, and efficiently to develop oneself, others, and society; the ability to think critically about information — a combination of research, technology, and communication skills. Source: MEDIALIT FINALS p.5 Context: Information and Media Literacy background is assumed; review media-literacy-finals-refined.md:line-241 if unfamiliar.",,qa,media-literacy finals information-and-media-literacy auto,,,Information and Media Literacy,media-literacy-finals-refined.md:line-241,701e35362e522b27
What is component 1 of 3 in The three types of signs?,Icon,Explanation: Icon; Symbol; Code Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-143 if unfamiliar.,"ISC: Icon, Symbol, Code",qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-143,d4b9f9f80ab51c68
What is component 1 of 3 in Negative effects of media?,Spread of misinformation,Explanation: Spread of misinformation; Identity theft; Misuse and abuse Source: MEDIALIT FINALS p.9 Context: Media Effects and Society background is assumed; review media-literacy-finals-refined.md:line-320 if unfamiliar.,"SIM: Spread of misinformation, Identity theft, Misuse and abuse",qa,media-literacy finals media-effects-and-society auto,,,Media Effects and Society,media-literacy-finals-refined.md:line-320,faca81646d6457d6
What is component 2 of 6 in The types of non-verbal communication?,Haptics,Explanation: Kinesics; Haptics; Vocalics / Paralinguistics; Proxemics; Chronemics; Artifacts and Environment Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-163 if unfamiliar.,"KHVPCA: Kinesics, Haptics, Vocalics / Paralinguistics, Proxemics, Chronemics, Artifacts and Environment",qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-163,009154d38876e50f
Which evaluation criterion checks evidence / balance / citations / grammar / and spelling?,Accuracy,Explanation: These signals help assess whether an information source is dependable. Source: MEDIALIT FINALS p.7 Context: Source Evaluation and Media Tradeoffs background is assumed; review media-literacy-finals-refined.md:line-642 if unfamiliar.,,qa,media-literacy finals evaluation source-evaluation-and-media-tradeoffs auto,,,Source Evaluation and Media Tradeoffs,media-literacy-finals-refined.md:line-642,8a4e3c5a0f41857b
What is component 2 of 2 in The two types of verbal communication?,Presentational — communicating information influenced by beliefs / bias / emotions / and culture,"Explanation: Representational — conveying factual information as it is; Presentational — communicating information influenced by beliefs, bias, emotions, and culture Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-193 if unfamiliar.",,qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-193,833463ab44c1ae29
What is component 1 of 3 in Examples of MOOCs?,Coursera,Explanation: Coursera; Udacity; edX Source: MEDIALIT FINALS p.23 Context: MOOCs and Ubiquitous Learning background is assumed; review media-literacy-finals-refined.md:line-602 if unfamiliar.,"CUE: Coursera, Udacity, edX",qa,media-literacy finals moocs-and-ubiquitous-learning auto,,,MOOCs and Ubiquitous Learning,media-literacy-finals-refined.md:line-602,0137b7efede70c98
Which term means: They are inaccessible without internet access?,a major accessibility limitation of websites,Explanation: Websites can reach worldwide audiences but depend on connectivity and computer literacy. Source: MEDIALIT FINALS p.8 Context: Source Evaluation and Media Tradeoffs background is assumed; review media-literacy-finals-refined.md:line-662 if unfamiliar.,,reverse,media-literacy finals media-tradeoffs source-evaluation-and-media-tradeoffs auto,,,Source Evaluation and Media Tradeoffs,media-literacy-finals-refined.md:line-662,ff3df2350dd40f71
Which term means: Intentionally false information spread to mislead or cause harm?,disinformation,"Explanation: False information that is DELIBERATELY created and spread to mislead, manipulate public opinion, or cause harm. Source: MEDIALIT FINALS p.9 Context: Media Effects and Society background is assumed; review media-literacy-finals-refined.md:line-330 if unfamiliar.",,reverse,media-literacy finals media-effects-and-society auto,,,Media Effects and Society,media-literacy-finals-refined.md:line-330,e586b3406f7b1123
What is component 5 of 5 in Being media literate requires you to…?,Identify the role of media in our culture,Explanation: Learn to think critically; Become smart consumers; Recognize points of view; Create media responsibly; Identify the role of media in our culture Source: MEDIALIT FINALS p.5 Context: Information and Media Literacy background is assumed; review media-literacy-finals-refined.md:line-266 if unfamiliar.,"LBRCI: Learn to think critically, Become smart consumers, Recognize points of view, Create media responsibly, Identify the role of media in our culture",qa,media-literacy finals information-and-media-literacy auto,,,Information and Media Literacy,media-literacy-finals-refined.md:line-266,b659bd80a576eceb
What is traditional media?,Any form of communication before the birth of digital media — e.g. radio / television / newspapers / books / and magazines.,"Explanation: Any form of communication before the birth of digital media — e.g. radio, television, newspapers, books, and magazines. Source: MEDIALIT FINALS p.1 Context: Media and Media Literacy background is assumed; review media-literacy-finals-refined.md:line-8 if unfamiliar.",,qa,media-literacy finals media-and-media-literacy auto,,,Media and Media Literacy,media-literacy-finals-refined.md:line-8,7b644ae4688d1dc5
Complete: ___ is the study of the meaning behind ...,Semantics,"Explanation: Semantics is the study of the meaning behind words, while Syntax is the study of sentence structure, grammar, and how sentences are formed. Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-208 if unfamiliar.",,qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-208,fc8a8c561b557e30
What is component 1 of 2 in The two main types of communication?,Verbal,Explanation: Verbal; Non-verbal Source: MEDIALIT FINALS p.2 Context: Communication Process and Literacies background is assumed; review media-literacy-finals-refined.md:line-66 if unfamiliar.,,qa,media-literacy finals communication-process-and-literacies auto,,,Communication Process and Literacies,media-literacy-finals-refined.md:line-66,8f4fdbd2abe992bb
