Front,Back,Extra,Mnemonic,CardType,Tags,ImageURL,ImageAlt,Topic,Source,CardID
How does the handout describe the mission of a single person?,To live a holy life in service / work / and witness.,Explanation: CCC 1658 places single people within God's family and mission in the world. Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-130 if unfamiliar.,,qa,theology-of-the-body vocation single-blessedness single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-130,12f02c097007f45e
What is component 3 of 4 in four dimensions of chastity in marriage?,Purity of heart,Explanation: Chastity in marriage orders conjugal love toward faithful and respectful self-gift. Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-108 if unfamiliar.,"FRPT: Fidelity, Respect, Purity of heart, Total self-giving love",qa,theology-of-the-body vocation chastity marriage vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-108,68659a3149b6d8d2
Complete: ... us that single people are part of ___ and have a mission in the world.,God's family,Explanation: The Catechism (CCC 1658) reminds us that single people are part of God's family and have a mission in the world. Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-62 if unfamiliar.,,qa,theology-of-the-body vocation single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-62,cba7a3e7c9e29e5d
What is component 2 of 3 in three service roles of priesthood and consecrated life?,Sanctifying,Explanation: Priests and religious dedicate their lives fully to God and serve the Church through these roles. Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-113 if unfamiliar.,"TSL: Teaching, Sanctifying, Leading God's people",qa,theology-of-the-body vocation consecrated-life vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-113,b302cba0449bdfc3
What is component 3 of 5 in Ways to discern God's call?,Go on retreats and recollections,Explanation: Pray to the Holy Spirit; Seek advice from a vocation director or trusted mentor; Go on retreats and recollections; Receive the sacraments; Know yourself and your gifts Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-77 if unfamiliar.,"PSGRK: Pray to the Holy Spirit, Seek advice from a vocation director or trusted mentor, Go on retreats and recollections, Receive the sacraments, Know yourself and your gifts",qa,theology-of-the-body vocation single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-77,09dc217df3e20419
Christ's {{c1::love for the Church}}.,love for the Church,Explanation: Christ's love for the Church. Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-34 if unfamiliar.,,cloze,theology-of-the-body vocation vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-34,f27ea1017aa1d598
What is component 4 of 4 in Chastity helps us…?,Prepare for our true vocation,Explanation: Love purely and selflessly; Respect our body and the dignity of others; Protect relationships from selfishness and sin; Prepare for our true vocation Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-67 if unfamiliar.,"LRPP: Love purely and selflessly, Respect our body and the dignity of others, Protect relationships from selfishness and sin, Prepare for our true vocation",qa,theology-of-the-body vocation single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-67,7ccf200ac6b896c6
Around what date does the handout place the earliest recorded marriage institution?,Around 2350 B.C.,Explanation: The handout describes marriage as one of the oldest human institutions. Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-103 if unfamiliar.,,qa,theology-of-the-body vocation marriage vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-103,24d1676989f47937
What is component 2 of 3 in What does chastity in single life teach?,Respect for self and others,Explanation: Chastity forms freedom for self-giving rather than mere rule compliance. Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-135 if unfamiliar.,"SRP: Self-discipline, Respect for self and others, Preparation for authentic love",qa,theology-of-the-body vocation chastity single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-135,e9f6384b8c0cc18a
What is component 1 of 3 in three service roles of priesthood and consecrated life?,Teaching,Explanation: Priests and religious dedicate their lives fully to God and serve the Church through these roles. Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-113 if unfamiliar.,"TSL: Teaching, Sanctifying, Leading God's people",qa,theology-of-the-body vocation consecrated-life vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-113,661541ee692fc55c
What is component 1 of 4 in Chastity helps us…?,Love purely and selflessly,Explanation: Love purely and selflessly; Respect our body and the dignity of others; Protect relationships from selfishness and sin; Prepare for our true vocation Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-67 if unfamiliar.,"LRPP: Love purely and selflessly, Respect our body and the dignity of others, Protect relationships from selfishness and sin, Prepare for our true vocation",qa,theology-of-the-body vocation single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-67,34b7b10f8b9d52d1
What is celibacy?,The choice to remain unmarried and abstain from sexual relations for the Kingdom of God (cf. Mt. 19:12).,Explanation: The choice to remain unmarried and abstain from sexual relations for the Kingdom of God (cf. Mt. 19:12). Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-44 if unfamiliar.,,qa,theology-of-the-body vocation vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-44,4e80c9e09759ea44
Complete: The Catechism (___) reminds us that single people are part ...,CCC 1658,Explanation: The Catechism (CCC 1658) reminds us that single people are part of God's family and have a mission in the world. Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-57 if unfamiliar.,,qa,theology-of-the-body vocation single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-57,fce40fffd5a972e4
"In Catholic teaching, what is a vocation?","God's unique call for each person.<br><img src=""theology-vocation-map.svg"" alt=""The branching map cues how distinct vocations share one root in love and one mission of self-giving service.; this visual cue anchors the relationship tested by the card."">",Explanation: God's unique call for each person. Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-9 if unfamiliar.,,image-supported,theology-of-the-body vocation vocation-marriage-and-consecrated-life auto,theology-vocation-map.svg,The branching map cues how distinct vocations share one root in love and one mission of self-giving service.; this visual cue anchors the relationship tested by the card.,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-9,a6ef786c7e66013a
What is component 1 of 5 in How can a student practice chastity now?,Respect the body,Explanation: The handout applies chastity to concrete choices in a student's present stage of life. Source: Theology-of-the-Body-VOCATION.pdf p.3 Context: Vocation Reflection and Application background is assumed; review theology-vocation-refined.md:line-142 if unfamiliar.,"RUCAL: Respect the body, Use social media responsibly, Choose modesty, Avoid harmful relationships, Love friends selflessly",qa,theology-of-the-body vocation chastity application vocation-reflection-and-application auto,,,Vocation Reflection and Application,theology-vocation-refined.md:line-142,8d2b6541060e5167
What is component 3 of 4 in Chastity helps us…?,Protect relationships from selfishness and sin,Explanation: Love purely and selflessly; Respect our body and the dignity of others; Protect relationships from selfishness and sin; Prepare for our true vocation Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-67 if unfamiliar.,"LRPP: Love purely and selflessly, Respect our body and the dignity of others, Protect relationships from selfishness and sin, Prepare for our true vocation",qa,theology-of-the-body vocation single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-67,2a1e86b91a49124d
What does celibacy teach about love and sacrifice?,True love is total self-giving expressed through sacrifice and service.,Explanation: Celibacy points to heaven and shows that love is broader than romance. Source: Theology-of-the-Body-VOCATION.pdf p.3 Context: Vocation Reflection and Application background is assumed; review theology-vocation-refined.md:line-147 if unfamiliar.,,qa,theology-of-the-body vocation celibacy vocation-reflection-and-application auto,,,Vocation Reflection and Application,theology-vocation-refined.md:line-147,11c6c023e9bf7903
"Complete: Celibacy allows priests, brothers, and sisters to love with an ___.",undivided heart,"Explanation: Celibacy allows priests, brothers, and sisters to love with an undivided heart. Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-49 if unfamiliar.",,qa,theology-of-the-body vocation vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-49,40dd9ba067bcbc6a
What is component 4 of 4 in Celibacy helps us…?,Show that real love is sacrifice and self-giving,"Explanation: Give our whole heart to God; Focus on mission, prayer, and service; Be a sign of heaven's eternal union with God; Show that real love is sacrifice and self-giving Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-72 if unfamiliar.","GFBS: Give our whole heart to God, Focus on mission, prayer, and service, Be a sign of heaven's eternal union with God, Show that real love is sacrifice and self-giving",qa,theology-of-the-body vocation single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-72,bbd18453cb054bb6
Why did St. John Paul II call marriage the primordial sacrament?,It was creation's first visible sign of God's covenant love.,"Explanation: Because it was the first visible sign of God's covenant love at creation, when man and woman were united as one flesh (Gen 2:24) — reflecting God's plan of love before sin entered the world. Source: Theology-of-the-Body-VOCATION.pdf p.3 Context: Vocation Reflection and Application background is assumed; review theology-vocation-refined.md:line-85 if unfamiliar.",,qa,theology-of-the-body vocation vocation-reflection-and-application auto,,,Vocation Reflection and Application,theology-vocation-refined.md:line-85,cd1008411e29b548
"Complete: Every vocation is rooted in ___, since God created us in His image and likeness.",love,"Explanation: Every vocation is rooted in love, since God created us in His image and likeness. Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-14 if unfamiliar.",,qa,theology-of-the-body vocation vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-14,c1e85ae45cdb9b53
Why might a person remain single according to the handout?,By choice or circumstance.,Explanation: Single blessedness remains a genuine setting for holiness / mission / and service. Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-125 if unfamiliar.,,qa,theology-of-the-body vocation single-blessedness single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-125,93a7b2132d524164
What is component 4 of 4 in four dimensions of chastity in marriage?,Total self-giving love,Explanation: Chastity in marriage orders conjugal love toward faithful and respectful self-gift. Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-108 if unfamiliar.,"FRPT: Fidelity, Respect, Purity of heart, Total self-giving love",qa,theology-of-the-body vocation chastity marriage vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-108,8c33232ca8b3b58f
What is component 5 of 5 in How can a student practice chastity now?,Love friends selflessly,Explanation: The handout applies chastity to concrete choices in a student's present stage of life. Source: Theology-of-the-Body-VOCATION.pdf p.3 Context: Vocation Reflection and Application background is assumed; review theology-vocation-refined.md:line-142 if unfamiliar.,"RUCAL: Respect the body, Use social media responsibly, Choose modesty, Avoid harmful relationships, Love friends selflessly",qa,theology-of-the-body vocation chastity application vocation-reflection-and-application auto,,,Vocation Reflection and Application,theology-vocation-refined.md:line-142,8173cfbfbc3adee6
What is component 2 of 4 in Celibacy helps us…?,"Focus on mission, prayer, and service","Explanation: Give our whole heart to God; Focus on mission, prayer, and service; Be a sign of heaven's eternal union with God; Show that real love is sacrifice and self-giving Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-72 if unfamiliar.","GFBS: Give our whole heart to God, Focus on mission, prayer, and service, Be a sign of heaven's eternal union with God, Show that real love is sacrifice and self-giving",qa,theology-of-the-body vocation single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-72,990bac362331bfcf
What is component 2 of 5 in How can a student practice chastity now?,Use social media responsibly,Explanation: The handout applies chastity to concrete choices in a student's present stage of life. Source: Theology-of-the-Body-VOCATION.pdf p.3 Context: Vocation Reflection and Application background is assumed; review theology-vocation-refined.md:line-142 if unfamiliar.,"RUCAL: Respect the body, Use social media responsibly, Choose modesty, Avoid harmful relationships, Love friends selflessly",qa,theology-of-the-body vocation chastity application vocation-reflection-and-application auto,,,Vocation Reflection and Application,theology-vocation-refined.md:line-142,6b51ef4c098f2891
What is component 1 of 3 in The three evangelical counsels?,Poverty,Explanation: Poverty; Chastity; Obedience Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-39 if unfamiliar.,"PCO: Poverty, Chastity, Obedience",qa,theology-of-the-body vocation vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-39,82778eed73c1e1d2
What is component 4 of 5 in Ways to discern God's call?,Receive the sacraments,Explanation: Pray to the Holy Spirit; Seek advice from a vocation director or trusted mentor; Go on retreats and recollections; Receive the sacraments; Know yourself and your gifts Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-77 if unfamiliar.,"PSGRK: Pray to the Holy Spirit, Seek advice from a vocation director or trusted mentor, Go on retreats and recollections, Receive the sacraments, Know yourself and your gifts",qa,theology-of-the-body vocation single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-77,ce18459eb60a1f3f
"What does St. Augustine mean by ""Our hearts find no peace until they rest in You""?",True happiness and peace are found only in God. Earthly pleasures cannot fully satisfy us — only union with God brings lasting peace.,Explanation: True happiness and peace are found only in God. Earthly pleasures cannot fully satisfy us — only union with God brings lasting peace. Source: Theology-of-the-Body-VOCATION.pdf p.3 Context: Vocation Reflection and Application background is assumed; review theology-vocation-refined.md:line-95 if unfamiliar.,,qa,theology-of-the-body vocation vocation-reflection-and-application auto,,,Vocation Reflection and Application,theology-vocation-refined.md:line-95,40669b4259d2151a
What is component 2 of 3 in The three evangelical counsels?,Chastity,Explanation: Poverty; Chastity; Obedience Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-39 if unfamiliar.,"PCO: Poverty, Chastity, Obedience",qa,theology-of-the-body vocation vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-39,6d352e40be308a72
What is component 4 of 5 in How can a student practice chastity now?,Avoid harmful relationships,Explanation: The handout applies chastity to concrete choices in a student's present stage of life. Source: Theology-of-the-Body-VOCATION.pdf p.3 Context: Vocation Reflection and Application background is assumed; review theology-vocation-refined.md:line-142 if unfamiliar.,"RUCAL: Respect the body, Use social media responsibly, Choose modesty, Avoid harmful relationships, Love friends selflessly",qa,theology-of-the-body vocation chastity application vocation-reflection-and-application auto,,,Vocation Reflection and Application,theology-vocation-refined.md:line-142,19bf90f4199915df
What is component 3 of 3 in What does chastity in single life teach?,Preparation for authentic love,Explanation: Chastity forms freedom for self-giving rather than mere rule compliance. Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-135 if unfamiliar.,"SRP: Self-discipline, Respect for self and others, Preparation for authentic love",qa,theology-of-the-body vocation chastity single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-135,22ab091c8cb0dc9a
"Complete: Vocation comes from the Latin ___, meaning ""to call.""",vocare,"Explanation: Vocation comes from the Latin vocare, meaning ""to call."" Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-3 if unfamiliar.",,qa,theology-of-the-body vocation vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-3,cdf8e2f306bae730
What is component 1 of 4 in Celibacy helps us…?,Give our whole heart to God,"Explanation: Give our whole heart to God; Focus on mission, prayer, and service; Be a sign of heaven's eternal union with God; Show that real love is sacrifice and self-giving Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-72 if unfamiliar.","GFBS: Give our whole heart to God, Focus on mission, prayer, and service, Be a sign of heaven's eternal union with God, Show that real love is sacrifice and self-giving",qa,theology-of-the-body vocation single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-72,83842d8f8d9855cf
What is component 3 of 5 in How can a student practice chastity now?,Choose modesty,Explanation: The handout applies chastity to concrete choices in a student's present stage of life. Source: Theology-of-the-Body-VOCATION.pdf p.3 Context: Vocation Reflection and Application background is assumed; review theology-vocation-refined.md:line-142 if unfamiliar.,"RUCAL: Respect the body, Use social media responsibly, Choose modesty, Avoid harmful relationships, Love friends selflessly",qa,theology-of-the-body vocation chastity application vocation-reflection-and-application auto,,,Vocation Reflection and Application,theology-vocation-refined.md:line-142,0762ffa3ae2d223f
Which term means: To love God and one another?,our fundamental mission as human beings,Explanation: To love God and one another. Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-19 if unfamiliar.,,reverse,theology-of-the-body vocation vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-19,2de9573f63ee97da
What is component 1 of 3 in What does chastity in single life teach?,Self-discipline,Explanation: Chastity forms freedom for self-giving rather than mere rule compliance. Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-135 if unfamiliar.,"SRP: Self-discipline, Respect for self and others, Preparation for authentic love",qa,theology-of-the-body vocation chastity single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-135,c932cf86e4bb0809
How is conjugal love an icon of Christ's love for the Church?,Just as Christ gave Himself completely for His Church / spouses are called to love each other with total / faithful / and sacrificial love (Eph. 5:25–32).,"Explanation: Just as Christ gave Himself completely for His Church, spouses are called to love each other with total, faithful, and sacrificial love (Eph. 5:25–32). Source: Theology-of-the-Body-VOCATION.pdf p.3 Context: Vocation Reflection and Application background is assumed; review theology-vocation-refined.md:line-90 if unfamiliar.",,qa,theology-of-the-body vocation vocation-reflection-and-application auto,,,Vocation Reflection and Application,theology-vocation-refined.md:line-90,eb1f0fd01bb6c0e3
What future reality does celibacy witness to?,Heaven / where all will be united with God.,Explanation: Celibacy points beyond earthly marriage toward humanity's ultimate union with God. Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-118 if unfamiliar.,,qa,theology-of-the-body vocation celibacy vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-118,7bd271a64f53445f
